Pressure, Conductivity, Temperature, Density, Sound_Speed
2427.955078, 3.14323, 1.8921, 1.03884564146147, 1497.50327555978,
2435.701904, 3.14282, 1.8803, 1.03888496257511, 1497.58791926317,
2442.842041, 3.14271, 1.8763, 1.03891707358113, 1497.6906468801,
2449.949951, 3.14264, 1.8705, 1.03895119022125, 1497.78820336446,
2457.022949, 3.1426, 1.8644, 1.03898574292406, 1497.8848103705,
2464.742919, 3.14239, 1.8663, 1.0390135065338, 1498.01281672699,
2471.845947, 3.14221, 1.8466, 1.03906010004955, 1498.06746578857,
2479.012207, 3.14213, 1.8427, 1.03909249781631, 1498.1714746572,
2486.32788, 3.14203, 1.8384, 1.03912570328189, 1498.27642367863,
2494.120849, 3.14203, 1.8357, 1.03916026131758, 1498.39554279795,
2501.307128, 3.14207, 1.8388, 1.03918705476957, 1498.52257754881,
2508.48706, 3.1422, 1.8177, 1.03923831157723, 1498.57949538199,
2515.535888, 3.1422, 1.8364, 1.03924891886459, 1498.74975605232,
2523.509033, 3.14217, 1.8302, 1.03928733032034, 1498.86104541584,
2530.6958, 3.14197, 1.8252, 1.03931971380089, 1498.96026993676,
2537.869873, 3.14174, 1.8108, 1.03936093370569, 1499.03102485546,
2544.884033, 3.14151, 1.7978, 1.03940013321676, 1499.10331459722,
2552.723144, 3.14131, 1.8062, 1.0394220914956, 1499.25283743202,
2559.718017, 3.14108, 1.7979, 1.03945661534924, 1499.33873163593,
2566.697021, 3.14081, 1.7942, 1.03948619461355, 1499.43732011834,
2573.855957, 3.14064, 1.7812, 1.03952655551414, 1499.51300508242,
2581.692871, 3.14042, 1.7901, 1.03954781186377, 1499.66371529681,
2588.664062, 3.14027, 1.7612, 1.03960313159856, 1499.68966255654,
2595.802978, 3.1403, 1.7668, 1.03962715071081, 1499.82335749815,
2602.775878, 3.1403, 1.7751, 1.03964756263446, 1499.96184639162,
2610.532959, 3.14016, 1.7525, 1.03970003464512, 1500.0194665587,
2617.563964, 3.14015, 1.7366, 1.03974424468479, 1500.08718683582,
2624.635009, 3.14009, 1.7523, 1.03975722805713, 1500.24822972396,
2631.73999, 3.14005, 1.7363, 1.03980154317674, 1500.31639535814,
2639.523925, 3.13998, 1.7487, 1.03982056794352, 1500.47920053893,
2646.480957, 3.14003, 1.7481, 1.03985007727514, 1500.5920170673,
2653.578125, 3.14007, 1.7342, 1.03989306771694, 1500.66762616683,
2660.505126, 3.14021, 1.7402, 1.03991685873275, 1500.80098774493,
2668.294921, 3.14043, 1.7395, 1.0399514952533, 1500.92997297579,
2675.141845, 3.14042, 1.7423, 1.03997664126903, 1501.05011564834,
2682.285888, 3.14048, 1.7364, 1.04001218033589, 1501.15054731879,
2689.2583, 3.14062, 1.728, 1.04005023132786, 1501.24210503391,
2696.963134, 3.14085, 1.7353, 1.04007677704348, 1501.39359590689,
2703.802001, 3.14085, 1.7322, 1.04010774604489, 1501.49637197574,
2710.812988, 3.14076, 1.7274, 1.04014021415506, 1501.59546749258,
2717.801025, 3.14084, 1.7224, 1.04017441566675, 1501.69640805536,
2725.549072, 3.14091, 1.7117, 1.04021720192076, 1501.79277844469,
2732.524902, 3.14099, 1.7129, 1.04024528052253, 1501.91189237051,
2739.608886, 3.14112, 1.7016, 1.0402865166519, 1501.99662974301,
2746.545898, 3.14121, 1.7107, 1.04030679180559, 1502.13867506171,
2754.366699, 3.14132, 1.7092, 1.0403412423368, 1502.26418000613,
2761.270019, 3.14142, 1.7147, 1.04036499611473, 1502.39521439811,
2768.280029, 3.1415, 1.7101, 1.04039887732496, 1502.49779797177,
2775.210937, 3.14163, 1.7045, 1.04043389294065, 1502.59696344421,
2783.028076, 3.14174, 1.7047, 1.04046665108253, 1502.72750142682,
2789.916748, 3.14186, 1.6955, 1.0405049193515, 1502.81518701472,
2796.812011, 3.14196, 1.7039, 1.04052578331449, 1502.95473873484,
2803.918212, 3.14208, 1.6858, 1.04057365276044, 1503.01968528553,
2811.619873, 3.14225, 1.6941, 1.04059856708004, 1503.17334692249,
2818.608886, 3.1423, 1.6962, 1.04062549405682, 1503.29501462706,
2825.678222, 3.14241, 1.6814, 1.04066987884135, 1503.36899960211,
2832.804199, 3.14255, 1.6815, 1.04070018151656, 1503.48850737604,
2840.483886, 3.14265, 1.6848, 1.04072921874719, 1503.62592368719,
2847.516845, 3.14281, 1.6741, 1.04076991285834, 1503.71231002001,
2854.635009, 3.14287, 1.6794, 1.04079430950339, 1503.84580018594,
2861.625, 3.14298, 1.6839, 1.04081944569491, 1503.97565695335,
2869.260986, 3.14303, 1.6781, 1.0408567301399, 1504.08467052707,
2876.405029, 3.14313, 1.6784, 1.04088650819368, 1504.20449437351,
2883.405029, 3.14331, 1.6756, 1.04091950224025, 1504.31411307606,
2890.610839, 3.14347, 1.671, 1.04095490493425, 1504.42147081428,
